Run,Trip,Destination,Platform,Sched. Arr.,Sched. Dep.,Actual Arr.,Actual Dep.,Variance
50,1755,TWD,TWD_RT1,05:37:03,05:37:03,05:37:03,05:37:03,00:00
50,1755,TWD,TWD_RT2,05:37:03,05:37:03,05:31:27,05:31:27,-05:35
50,1755,CEN,HS1,05:38:41,05:38:51,05:38:40,05:38:36,-00:14
50,1755,CEN,TSW_12,05:39:22,05:39:22,,05:40:13,00:52
50,1755,TSW,UTR,05:39:22,05:39:22,,,
50,1755,CEN,TSW2,05:39:55,05:42:55,05:40:13,05:41:20,-01:34
50,1755,CEN,TWH2,05:44:19,05:44:19,05:41:20,05:46:25,02:06
50,1755,CEN,KWH_44,05:45:15,05:45:15,05:46:25,05:48:09,02:55
50,1755,CEN,KWH2,05:46:12,05:46:12,05:48:09,05:48:37,02:25
50,1755,CEN,KWF2,05:47:30,05:47:30,05:48:37,05:49:45,02:16
50,1755,CEN,LAK2,05:49:06,05:49:06,05:49:45,05:51:06,02:01
53,1749,TWD,TWD_RT2,05:46:48,05:46:48,05:42:28,05:42:28,-04:19
53,1749,CEN,HS1,05:48:26,05:48:36,05:48:25,05:48:35,00:00
53,1749,CEN,TSW_12,05:49:07,05:49:07,,05:51:13,02:07
53,1749,TSW,UTR,05:49:07,05:49:07,,,
53,1749,CEN,TSW2,05:49:40,05:52:40,05:51:13,05:55:43,03:03
53,1749,CEN,TWH2,05:54:04,05:54:04,05:52:50,05:57:16,03:13
50,1753,CEN,YMT2,05:59:11,06:01:11,06:01:37,06:01:59,00:48
50,1753,CEN,JOR2,06:02:31,06:03:01,06:03:38,06:03:58,00:58
50,1753,CEN,TST_22,06:03:43,06:03:43,06:03:42,06:04:37,00:55
50,1753,CEN,TST2,06:04:27,06:04:57,06:05:22,06:05:42,00:46
50,1753,CEN,ADM4,06:07:45,06:08:25,06:08:11,06:08:31,00:07
50,1753,CEN,CEN_24,06:09:07,06:09:07,,06:09:22,00:16
53,1438,TSW,CEN1,06:20:52,06:30:15,06:20:56,06:30:01,-00:13
53,1438,TSW,ADM_01,06:30:59,06:30:59,,06:31:04,00:05
53,1438,TSW,ADM1,06:31:41,06:32:11,06:31:37,06:32:11,00:00
53,1438,TSW,TST1,06:35:00,06:35:30,06:35:25,06:35:45,00:16
53,1438,TSW,JOR1,06:36:50,06:37:20,06:37:12,06:37:32,00:13
53,1438,TSW,YMT1,06:38:40,06:39:10,06:38:50,06:39:20,00:10
50,1397,CEN,MEF2,06:58:23,06:58:53,07:00:22,07:00:42,01:50
50,1397,CEN,LCK2,07:00:18,07:00:48,07:02:07,07:02:27,01:39
53,555,CEN,TWH2,07:05:40,07:06:04,07:07:11,07:08:11,03:56
53,555,CEN,KWH_44,07:07:00,07:07:00,07:06:59,07:10:24,04:20
50,1342,TSW,CEN1,07:18:17,07:22:45,07:20:04,07:23:12,00:27
50,1342,TSW,CSW1,07:37:47,07:38:07,07:38:48,07:39:08,01:01
53,556,TSW,TST1,07:43:44,07:44:03,07:47:57,07:48:17,04:15
53,619,CEN,KWH2,08:16:13,08:16:35,08:20:03,08:20:23,03:49
53,619,CEN,TST_22,08:38:19,08:38:19,,08:42:59,04:41
53,619,CEN,TST2,08:39:03,08:39:48,08:43:45,08:45:15,05:28
53,683,CEN,CSW2,09:35:04,09:35:42,09:38:23,09:38:43,03:02
53,683,CEN,SSP2,09:36:59,09:37:42,09:40:00,09:40:37,02:55
53,683,CEN,ADM4,09:50:52,09:51:52,09:52:59,09:53:19,01:28
